"TEMA";"SUBTEMA";"PERGUNTA";"NOME_ARQUIVO_JS"
"População";"Sexo Biológico";"Qual é a evolução da população de Salvador?";"q1_pop_total.csv"
"População";"Sexo Biológico";"Qual é a evolução da população do sexo feminino de Salvador?";"q2_pop_sex_f.csv"
"População";"Sexo Biológico";"Qual é a evolução da população do sexo masculino de Salvador?";"q3_pop_sex_m.csv"
"População";"Faixa Etária";"Qual é a população com idade de 0 a 4 anos em Salvador?";"q41.csv"
"População";"Faixa Etária";"Qual é a população com idade de 5 a 14 anos em Salvador?";"q42.csv"
"População";"Faixa Etária";"Qual é a população com idade de 5 a 14 anos em Salvador?";"q43.csv"
"População";"Faixa Etária";"Qual é  a população com idade de 15 a 19 anos em Salvador?";"q44.csv"
"População";"Faixa Etária";"Qual é  a população com idade de 20 a 29 anos em Salvador?";"q45.csv"
"População";"Faixa Etária";"Qual é a população com idade de 30 a 39 anos em Salvador?";"q46.csv"
"População";"Faixa Etária";"Qual é a população com idade de 40 a 59 anos em Salvador?";"q47.csv"
"População";"Faixa Etária";"Qual é a população com idade de 60 a 79 anos em Salvador?";"q48.csv"
"População";"Faixa Etária";"Qual é a população com 80 anos ou mais em Salvador?";"q49.csv"
